N°,client,consultation_id,intitule_projet,lien,Selection
43,Office Nationale de tourisme,20241002335,Sélection d’un prestataire pour le développement et la mise en place d’une plateforme digitale d’octroi des subventions FODEC,,1
44,Ciments Bizerte,--,"la conception, le développement et la mise en ligne d’une solution Full Web permettant l’envoi et la réception des offres relatives à l’achat de coke de pétrole",,1
45,GIZ,--,Développement de la solution de numérisation des processus relatives à l’évaluation individuelle des agents de la fonction publique,,1
46,Conseil régional de siliana,S20250202944,أشغال تهيئة الملعب البلدي بسيدي بورويس- قسط بناء الأسيجة وتهيئة المداخل-,https://www.tuneps.tn/portail/offres/details/82165/20250202994,0
47,Commune Ech-Charayaa- Machrek Ech-Chams,20250203001,"Travaux de pavage et de préparation de routes, commune echraya-machreg echames",https://www.tuneps.tn/portail/offres/details/82179/20250203001,0
48,Office de l’Aviation Civile et des  Aéroports,20250201173,FOURNITURE DE TICKETS RESTAURANTS POUR LE PERSONNEL DE L’OACA,https://www.tuneps.tn/portail/offres/details/81614/20250201173,0
49,Commune d’Akouda,S20250205540,استشاؤة تعيين مكتب دراسات لمشروع تعبيد و صياتة الطرقات و تهيئة مفترق المندرة باكودة,https://www.tuneps.tn/portail/consultations/consultationdetails/211363/S20250205540,0
50,Prison civile Messaadine,S20250203072,consultation verni aluminium,https://www.tuneps.tn/portail/consultations/consultationdetails/208596/S20250203072,0
51,Prison civile Kairouan,S20250202831,Achat produits Control virtuelle,https://www.tuneps.tn/portail/consultations/consultationdetails/208594/S20250202831,0
52,Conseil régional de siliana,S20250203045,Consultation d'acquisition d'un appareil photo professionnel avec objectif,https://www.tuneps.tn/portail/consultations/consultationdetails/208565/S20250203045,0
53,Commune Souassi,S20250203048,étude géotechnique,https://www.tuneps.tn/portail/consultations/consultationdetails/208569/S20250203048,0
54,Commune Bir Ali Ben Khelifa,S20250203017,Sécuriser les transports municipaux pour l’année 2025 Pour la deuxième fois,https://www.tuneps.tn/portail/consultations/consultationdetails/208529/S20250203017,0
1,ANETI,TN-ANETI-11/2023-NC-RFB,"نظام المعلومات التجارية لشبكة "" نيتـي "" (ANETI)",,1
2,UNIVJENDOUBA - Université de Jendouba,N° 04/2023,إنشاء موقع على الشبكة العالمية لصالح جامعة جيندوبا ومؤسساتها,,1
3,ISET Jendouba,S20240102471,تصميم البوابة الدينامية للبوة الديناميكية لشبكة الإنترنت الدولية لشبكة الإنترنت في جندوبا، وتطويرها، ومراجعة حساباتها,https://www.tuneps.tn/portail/consultations/consultationdetails/134728/S20240102471,1
4,ISET Jendouba,S20240102882,شراء برنامج حاسوبي للإدارة الإلكترونية والرقمية للخدمات التعليمية والإدارية من أجل الشبكة الدولية لشبكة الإنترنت للتعليم الإلكتروني والإدارة الإلكترونية لشبكة الإنترنت (ISEET Jendoduba),https://www.tuneps.tn/portail/consultations/consultationdetails/135228/S20240102882,1
5,Commune de Nabeul,S20240102982,اقتناء برنامج حاسوبي لإدارة الصيانة بمساعدة من الحاسوب,https://www.tuneps.tn/portail/consultations/consultationdetails/135346/S20240102982,1
6,Office National des mines,S20240103734,تنفيذ بوابة رقمية للمكتبة وللمتحف الجيولوجي للمكتبة والمتحف الجيولوجي,https://www.tuneps.tn/portail/consultations/consultationdetails/136197/S20240103734,1
7,ENIT,S20240103726,تطوير استضافة تطبيق على الشبكة العالمية والتطبيق المتنقل في الهندسة المعمارية للزبائن - المستفيدين للامتحانات الوطنية للامتحانات التنافسية الوطنية في دورات تدريب المهندسين,https://www.tuneps.tn/portail/consultations/consultationdetails/136205/S20240103726,1
8,LCAE - Laboratoire Central dAnalyses et dEssais,N° 03/2023,تنفيذ نظام تخطيط الموارد في المؤسسة,,1
88,Hopital régional de béja,20250202998,Fourniture de matériel et de matériel de nettoyage et de stérilisation à l &apos; hôpital régional,https://www.tuneps.tn/portail/offres/details/82174/20250202998,0
9,Commune de Nabeul,S20240103584,برامجيات لتعقب الملفات القانونية,https://www.tuneps.tn/portail/consultations/consultationdetails/136026/S20240103584,1
10,FTUSA - Fédération Tunisienne des sociétés dAssurances,N° 01/2024,اقتناء أو تطوير نظام مرجعي للسيارات يتيح حساب قيمة المركبة في السوق المحلية من حيث القيمة الجديدة والقيمة الأصلية للمركبة في السوق المحلية,,1
1010,Centre National de Recherches en Sciences des Matériaux,S20250205532,"أعمال تصليح الكهرباء من أحد المباني إلى مولد مولد كهرباء (275 كيلوكوفا، 400 ألف)، وإصلاح وتشغيل م موجة "" NON-LINEUUPS 60 KVA-48 كيلوواط""",https://www.tuneps.tn/portail/consultations/consultationdetails/211354/S20250205532,0
11,ISET RADES,S20240200789,إنشاء بوابة إلكترونية للإدارة الشخصية والاتصالات عن بعد من أجل تنظيم مسابقات خاصة للطلبة,https://www.tuneps.tn/portail/consultations/consultationdetails/138087/S20240200789,1
12,Université de Kairouan,S20240200379,إنشاء منبر للإدارة الإلكترونية,https://www.tuneps.tn/portail/consultations/consultationdetails/137571/S20240200379,1
13,MTC CNSS,TN-MTCTD-352206-NC-RFB,تقديم خدمات لإلغاء عملية طلب المعاشات التقاعدية لأعضاء اللجنة الوطنية للضمان الاجتماعي,,1
1313,Commissariat Régional au Développement Agricole de Gafsa,S20250205510,شركة POPOVT T TT/BT TT في اختبار اختبار الامتصاص,https://www.tuneps.tn/portail/consultations/consultationdetails/211332/S20250205510,0
14,FSEGSFAX,--,تطوير منصة رقمية لإدارة كلية الدكتوراه بكلية العلوم في صفاكس,,1
15,GIZ,N°83460382,تطوير خدمات المعلومات المتعلقة بتغير المناخ في التمثيليات الإقليمية في إطار برنامج البيئة,https://www.tunisurf.com/v3/?mod=6013&aoid=445768&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,1
1515,Ecole Nationale d’Ingénieurs de Tunis,S20250205403,- شراء ورق ولوازم المكاتب لصالح المدرسة الوطنية لمهناء تونس,https://www.tuneps.tn/portail/consultations/consultationdetails/211323/S20250205403,0
16,CEPEX Centre de Promotion des Exportations - TUNISIA EXPORT,N°05/24,تحسين وتحسين نظام إدارة صندوق تشجيع الصادرات,https://www.tunisurf.com/v3/?mod=6013&aoid=445786&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,1
1616,Le conseil régional de gouvernorat de Ariana,S20250205506,مشروع تعديل الموقع الأرشيفي في مقر الحكومة,https://www.tuneps.tn/portail/consultations/consultationdetails/211328/S20250205506,0
17,BIAT - Banque Internationale Arabe de Tunisie,N°01/24,إنشاء منصة e-Learning,,1
1717,Foyer Universitaire Rakkada,S20250205490,في حالات الطوارئ,https://www.tuneps.tn/portail/consultations/consultationdetails/211310/S20250205490,0
18,CGTD NABEUL 1 - Cellule de Gestion des terres en Déchéances Nabeul,N°110,من أجل الحصول على حل إداري تجاري للسجلات النقدية,,1
19,GIZ,N°83460310,استضافة ونشر تطبيقات ومنصات مركز التحويل الرقمي على الشبكة العالمية (الويب),https://www.tunisurf.com/v3/?mod=6013&aoid=445804&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,1
1919,Régie des Sondages Hydrauliques (RSH),S20250205502,2 - مرة ثانية ثانية لاقتناء معدات تجهيزات مطاطية,https://www.tuneps.tn/portail/consultations/consultationdetails/211324/S20250205502,0
20,CTA - Centre Technique dAquaculture,Retirer la consultation du bureau d'ordre,تنفيذ نظام تخطيط الموارد في المؤسسة,https://www.tunisurf.com/v3/?mod=6013&aoid=445986&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,1
21,UNIVJENDOUBA - Université de Jendouba,--,- إنشاء حل لإدارة الامتحانات والمسح التصويري للمؤسسات التابعة لجامعة جندوبا,https://www.tunisurf.com/v3/?mod=6013&aoid=445865&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,1
22,Société Nationale d’Exploitation et de Distribution des Eaux,20240500107,AO 36-2024 توفير وتنفيذ نظام لإدارة الحضور في مختلف مواقع المنظمة في جميع أنحاء الأراضي التونسية.,https://www.tuneps.tn/portail/offres/details/64887/20240500107,1
2222,"Direction Régionale de l’Equipement, de l’Habitat et de l’Aménagement du Territoire de Kebili",S20250205520,السيارات 13115643 13115643,https://www.tuneps.tn/portail/consultations/consultationdetails/211342/S20250205520,0
23,Ministére de finance,20240500060,تنفيذ اتفاق ثنائي عشري بشأن نظام إدارة النظم السليمة بيئياً للسجلات السليمة بيئياً، وتنفيذ حل لإدارة وشفـاء العلـوم,https://www.tuneps.tn/portail/offres/details/64781/20240500060,1
24,FSEGMAHDIA - Faculté des sciences économiques  et de gestion de Mahdia,PAQ,توسيع وتحسين وظائف منصة غرفة الأسواق,https://www.tunisurf.com/v3/?mod=6013&aoid=451659&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,1
25,ATCT - Agence Tunisienne de coopération Technique,20240500765,تحديث وتطوير موقع الوكالة على الشبكة,https://www.tuneps.tn/portail/offres/details/65123/20240500765,1
26,RADIO TUNISIENNE,20240501288,تصميم وتطوير موقع على شبكة ويب، وتنفيذ وتوريـد خدمـات مـنصـف الأسمـامنغ، والتنظيف، وحفـظ مستنـد مـن مجـال,,1
27,GIZ,N°83452326,تصميم وتنفيذ نظام للمعلومات ودعم اتخاذ القرارات المتعلقة بمؤشرات الشباب,,1
28,CILG,--,التصميم، تطوير الموقع الشبكي لشبكة ويون ليبي,,1
29,UNIVJENDOUBA - Université de Jendouba,--,تحسين نظام إدارة الوقت والعمل الإضافي (GETEX),,1
30,MT,TN-MTCTD-377103-CS-QCBS,إنشاء نظام جديد للمعلومات المتعلقة بالتعرّف الاجتماعي لصالح مركز البحوث والدراسات الاجتماعية (CRES),,1
31,MT,N° 03/2023,إنشاء منصة لإدارة خدمات الثقة الرقمية القطاعية,,1
32,GIZ,83461089,تطوير وتنفيذ منصة رقمية لمشروع دار الخدمات الإدارية في 5 بلديات,,1
33,SRT NABEUL,20240600399,إنشاء موقع شبكي دينامي جديد,https://www.tuneps.tn/portail/offres/details/67504/20240600399,1
34,BAD,--,تطوير وصيانة الموقع الشبكي لشبكة الويب الشبكية,https://www.afdb.org/fr/consultants/eoi-development-and-maintenance-rasme-website-tcis-72371,1
35,Office des œuvres universitaires du sud,20240704821,مشروع إنشاء بوابة على شبكة الإنترنت,https://www.tuneps.tn/portail/offres/details/69781/20240704821,1
36,Tunisair Handling,--,(ب) إنشاء نظام لإدارة عمليات المطارات وإعداد الفواتير,https://www.tunisurf.com/v3/?mod=6013&aoid=459678&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,1
37,Université de sousse,S20240902425,وضع برنامج لدعم ومتابعة الطلاب والخريجين.,https://www.tuneps.tn/portail/consultations/consultationdetails/180068/S20240902425,1
38,Université de sousse,S20240901789,المنبر الافتراضية (محفّز افتراضي),https://www.tuneps.tn/portail/consultations/consultationdetails/179349/S20240901789,1
39,GIZ,--,مشروع تطوير وتنفيذ حلول تاتمندي وتابايا,,1
40,GiZ GmbH,--,تعميم منصة إدارة طلبات الحصول على إذن البحث - التشغيل - شغل DPH في 20 CRDAS,https://www.tunisurf.com/v3/?mod=6013&aoid=465081&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,1
41,SRT Médenine,--,تطوير منصة لبيع الاشتراكات على الإنترنت,,1
42,ENSIT - Ecole Nationale Supérieure dIngénieurs de Tunis,--,تم تركيب نظام معلومات جامعي SIU لمصلحة المعهد الوطني للإحصاء العالي الوطني لمهندسي تونس,,1
43,Office Nationale de tourisme,20241002335,اختيار مقدم خدمات لتطوير وتنفيذ برنامج رقمي لمنح المنح,,1
44,Ciments Bizerte,--,تصميم وتطوير وتنفيذ حل على شبكة الويب العالمية لفضـول فـول يمـكن مـن إرسال واستلام عروض شراء فحم الكوك النفطي,,1
45,GIZ,--,تطوير حل لرقمنة عمليات التقييم الفردي للموظفين العموميين,,1
46,Conseil régional de siliana,S20250202944,- Les travaux d'aménagement du terrain municipal de Sid Burowis. - Les cours de construction de clôtures et d'entrées.,https://www.tuneps.tn/portail/offres/details/82165/20250202994,0
47,Commune Ech-Charayaa- Machrek Ech-Chams,20250203001,أعمال حفر الطرق وإعدادها، بلدية إريا - مشكريا - مشكريغ هقاسم,https://www.tuneps.tn/portail/offres/details/82179/20250203001,0
48,Office de l’Aviation Civile et des  Aéroports,20250201173,توفير خدمات تكنولوجيا الاتصالات السلكية واللاسلكية لخدمــة موظفــي أواكـا,https://www.tuneps.tn/portail/offres/details/81614/20250201173,0
49,Commune d’Akouda,S20250205540,La création d &apos; un bureau d &apos; étude pour le projet de construction de routes et de routes et la création d &apos; un carrefour de la pénurie de bacs.,https://www.tuneps.tn/portail/consultations/consultationdetails/211363/S20250205540,0
50,Prison civile Messaadine,S20250203072,من اللونيوم إلى الألومنيوم,https://www.tuneps.tn/portail/consultations/consultationdetails/208596/S20250203072,0
51,Prison civile Kairouan,S20250202831,التحقق الفعلي من عمليات الاقتناء,https://www.tuneps.tn/portail/consultations/consultationdetails/208594/S20250202831,0
52,Conseil régional de siliana,S20250203045,الهدف من الحصول على آلة تصوير محترفة,https://www.tuneps.tn/portail/consultations/consultationdetails/208565/S20250203045,0
53,Commune Souassi,S20250203048,الدراسة الجيوفيزيائية,https://www.tuneps.tn/portail/consultations/consultationdetails/208569/S20250203048,0
54,Commune Bir Ali Ben Khelifa,S20250203017,تأمين النقل العام للبلديات بحلول عام ٢٠٢٥ للمرة الثانية,https://www.tuneps.tn/portail/consultations/consultationdetails/208529/S20250203017,0
,Ministère de l’Intérieur,20250500515,"اقتنــاء 
أثاث مبيتات ومطاعم وثكنات وخفارات من الاليمنيوم",https://www.tuneps.tn/portail/offres/details/87127/20250500515,0
,Conseil régional de Mahdia,20250500511,إنجاز أشغال  إحداث المنطقة السقوية بملولش 2 (معتمدية ملولش) قسط عدد2,https://www.tuneps.tn/portail/offres/details/87123/20250500511,0
,Commune El Ayoun,20250500473,مشروع الإنارة العمومية,,0
,Ministère de la Défense Nationale,20250301260,Travaux de construction d’un restaurant et d’une cuisine à kondar au profit du ministère de la défense nationale,,0
,Ministère de la Défense Nationale,20250301262,travaux de construction d’un bâtiment administratif à ksar saiid au profit du ministère de la défense nationale,,0
,Ministère de la Défense Nationale,20250400743,travaux de construction d'une ecole de formation à oued ellil au profit du ministére de la défense nationale,,0
,Commune  sbiba,20250500509,revêtement et entretien des voiries à commune sbiba,,0
,Direction régionale de l’équipement Kasserine,20250500508,"Travaux d’entretien des ouvrages hydrauliques des routes classées et des pistes rurales - Programme d'entretien 2025 en 02 lots:
Lot n°01 : Travaux d’entretien des ouvrages hydrauliques des routes classées
Lot n°02 : Travaux d’entretien des ouvrages hydrauliques des pistes rurales",,0
,Commissariat Régional au Développement Agricole de Sousse,20250500506,Achat tractopelle,,0
,Ministère de la Santé,20250500457,acquisition d'implants cochléaire,,0
,المستشفى المحلي بالعالية,S20250504390,Travaux de ré-cablage d'un réseau local informatique et téléphonique avec acquisition et pose de matériel,https://www.tuneps.tn/portail/consultations/consultationdetails/231630/S20250504390,1
,Office national du tourisme tunisien,S20250504374,réalisation d’une mission d’audit de la sécurité de son système d’information,https://www.tuneps.tn/portail/consultations/consultationdetails/231602/S20250504374,1
,Institut de formation continue du personnel de la santé de Monastir,S20250504373,amenagement de l'environnement exterieur de l'etbs,https://www.tuneps.tn/portail/consultations/consultationdetails/231601/S20250504373,0
,Société Tunisienne d’Electricité et de Gaz,S20250504387,acquisition des extincteurs,https://www.tuneps.tn/portail/consultations/consultationdetails/231627/S20250504387,0
,Ecole nationale des Douanes,S20250504380,Acquisition matériels de sport,https://www.tuneps.tn/portail/consultations/consultationdetails/231609/S20250504380,0
,Faculté de Médecine DE Dentaire de Monastir,S20250504389,imprimés spècifiques,https://www.tuneps.tn/portail/consultations/consultationdetails/231629/S20250504389,0
,Compagnie des Phosphates de Gafsa,S20250504378,Points d'Accès WIFI,https://www.tuneps.tn/portail/consultations/consultationdetails/231622/S20250504378,0
,Institut National de Nutrition et de  Technologies Alimentaires,20250501174,التزود بمطبوعات ادارية,https://www.tuneps.tn/portail/offres/details/87834/20250501174,0
,Société Tunisie Autoroutes,S20250504376,Acquisition pièces de rechange,https://www.tuneps.tn/portail/consultations/consultationdetails/231605/S20250504376,0
,Commune de Gremda,S20250504384,Achat de vêtements de travail au profit des travailleurs de l'année 2025,https://www.tuneps.tn/portail/consultations/consultationdetails/231623/S20250504384,0
,"Commissariat régional de la femme, de la famille et de l’enfance et des personnes âgées de Sousse",S20250504403,Legumes et fruits -projet pour famille necessiteuse,https://www.tuneps.tn/portail/consultations/consultationdetails/231648/S20250504403,0
,Institut Salah Azaïez,S20250504382,JOURNÉES SCIENTIFIQUES DE INSTITUT SALAH AZAIEZ,https://www.tuneps.tn/portail/consultations/consultationdetails/231618/S20250504382,0
,المستشفى المحلي بالعالية,S20250504390,عمليات إعادة تزويد الشبكة المحلية لتكنولوجيا المعلومات والهاتف واقتناء المعدات وتركيبها,https://www.tuneps.tn/portail/consultations/consultationdetails/231630/S20250504390,1
,Office national du tourisme tunisien,S20250504374,مراجعة أمن نظام المعلومات التابع لها,https://www.tuneps.tn/portail/consultations/consultationdetails/231602/S20250504374,1
,Institut de formation continue du personnel de la santé de Monastir,S20250504373,(ب) التنقية البيئية الخارجية في الانبتات,https://www.tuneps.tn/portail/consultations/consultationdetails/231601/S20250504373,0
,Société Tunisienne d’Electricité et de Gaz,S20250504387,من أجل العمل على تحقيق الأهداف الإنمائية للألفية,https://www.tuneps.tn/portail/consultations/consultationdetails/231627/S20250504387,0
,Ecole nationale des Douanes,S20250504380,المعدات الرياضية,https://www.tuneps.tn/portail/consultations/consultationdetails/231609/S20250504380,0
,Faculté de Médecine DE Dentaire de Monastir,S20250504389,مواد معدنية و/مصــاصة,https://www.tuneps.tn/portail/consultations/consultationdetails/231629/S20250504389,0
,Compagnie des Phosphates de Gafsa,S20250504378,نقاط الوصول إلى ويف (WIFI),https://www.tuneps.tn/portail/consultations/consultationdetails/231622/S20250504378,0
,Institut National de Nutrition et de  Technologies Alimentaires,20250501174,Fourniture d &apos; ouvrages administratifs,https://www.tuneps.tn/portail/offres/details/87834/20250501174,0
,Société Tunisie Autoroutes,S20250504376,قطــع قطــع قطــع قطــع قطــع الغيار,https://www.tuneps.tn/portail/consultations/consultationdetails/231605/S20250504376,0
,Commune de Gremda,S20250504384,:: شراء ملابس عمل للعاملين في عام 2025,https://www.tuneps.tn/portail/consultations/consultationdetails/231623/S20250504384,0
,"Commissariat régional de la femme, de la famille et de l’enfance et des personnes âgées de Sousse",S20250504403,الخضروات والفواكه - مشروع الأسرة المفترسة,https://www.tuneps.tn/portail/consultations/consultationdetails/231648/S20250504403,0
